Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
277	Legoland / Police	370-1	Police Headquarters	1976	20	35 x 25 x 4.8
388	Building Set with People / Western / Cowboys	198-1	Cowboys	1977	1.6	9.9 x 9.9 x 4.1
395	Samsonite / Model Maker / Supplemental	312-1	Remote Control Supplement	1970	?	? x ? x ?
102	Scala	3124-1	Indie's Stable	2001	41	47.8 x 28.6 x 11.2
277	Legoland / Hospital	386-1	Helicopter and Ambulance	1976	6.6	30 x 15 x 4.2
277	Legoland / Construction	387-1	Excavator and Dumper	1976	10	? x ? x ?
277	Legoland / Gas Station	648-1	Shell Service Station	1971	3.4	? x ? x ?
277	Legoland / Vehicle / Race	650-1	Car with Trailer and Racing Car	1972	3.4	? x ? x ?
277	Legoland / Vehicle / Traffic	685-1	Truck with Trailer	1972	3.4	20 x 6.6 x 4.5
277	Legoland / Airport	430-1	Biplane	1975	1.7	10 x 6.6 x 4.1
423	Classic / Supplemental	995-1	Lighting Bricks with Color Filters	1969	?	? x ? x ?
277	Legoland / Space	358-1	Rocket Base	1973	21	30 x 20 x 5
277	Legoland / Vehicle / Traffic	610-1	Vintage Car	1973	3.4	10 x 6.5 x 4
277	Legoland / Vehicle / Traffic	694-1	Transport Truck	1975	3.4	20.1 x 6.6 x 4
69	Western / Cowboys	6764-1	Sheriff's Lock-Up	2002	36	33.4 x 23.7 x 4.8
449	Island Xtreme Stunts	6740-1	Xtreme Tower	2002	106	48 x 28.5 x 7
277	Legoland / Construction	615-2	Fork Lift with Driver	1975	3.4	10 x 6.5 x 4
65	Star Wars / Star Wars Episode 2	7163-1	Republic Gunship	2002	195	57.6 x 38.3 x 7
170	Alpha Team / Mission Deep Sea	4797-1	Ogel Mutant Killer Whale	2002	27	19 x 14.3 x 4.6
179	Racers / Drome Racers	4591-1	Star Strike	2002	3.15	9.5 x 14.5 x 3.8
473	Sports / Soccer	3424-1	Target Practice	2002	8	? x ? x ?
273	Bionicle / Bohrok	8563-1	Tahnok	2002	31	10.7 x 9 x 15.8
174	Studios	1382-1	Scary Laboratory	2002	124	38 x 28 x 5
179	Racers / Drome Racers	4594-1	Maverick Sprinter & Hot Arrow	2002	8.5	19 x 15 x 5
170	Alpha Team / Mission Deep Sea	4792-1	Alpha Team Navigator and ROV	2002	27	19 x 14.3 x 4.6
170	Alpha Team / Mission Deep Sea	4796-1	Ogel Mutant Squid	2002	18	19.1 x 14.3 x 4.6
65	Star Wars / Star Wars Episode 2	7103-1	Jedi Duel	2002	27	19 x 14.3 x 4.7
273	Bionicle / Titans	8556-1	Boxor	2002	119	28.6 x 19 x 4.6
273	Bionicle / Bohrok	8564-1	Lehvak	2002	31	11 x 15 x 8.7
449	Island Xtreme Stunts	6736-1	Beach Lookout	2002	26	19.2 x 19.2 x 5.7
422	Universal Building Set / Basic Set	1994-1	Turtle Bucket with Motor	1992	?	22 x 24 x 22
179	Racers / Drome Racers	4590-1	Flash Turbo	2002	2	9.5 x 14.4 x 3.7
273	Bionicle / Bohrok	8562-1	Gahlok	2002	34.1	10.7 x 9 x 15.8
124	Train / 9V / My Own Train	KT203-1	Large Train Engine with Tender Blue	2001	?	34.2 x 20.1 x 9.3
36	Technic / RoboRiders	1291-1	Power Bike	2000	?	? x ? x ?
36	Technic / RoboRiders	1293-1	Swamp Craft	2000	?	? x ? x ?
277	Legoland / Vehicle / Traffic	660-1	Car with Plane Transporter	1975	3.4	? x ? x ?
9	Castle / My Own Creation	3739-1	Blacksmith Shop	2002	71	28.5 x 28.5 x 7
273	Bionicle / Titans	8557-1	Exo-Toa	2002	257	28.5 x 28.5 x 6
273	Bionicle / Bohrok	8560-1	Pahrak	2002	33.9	10.7 x 9 x 15.8
273	Bionicle / Bohrok	8561-1	Nuhvok	2002	34	10.7 x 9 x 15.8
449	Island Xtreme Stunts	6738-1	Skateboard Challenge	2002	54	28.5 x 19 x 6
388	Building Set with People / Police	192-1	Policemen	1977	6.6	16.2 x 10 x 4
388	Building Set with People / Traffic	199-1	Scooter	1977	1.6	10 x 10 x 4.1
388	Building Set with People / Zoo	258-1	Zoo with Baseboard	1976	26.4	? x ? x ?
423	Classic / Basic Set	321-1	Clowns	1965	?	? x ? x ?
174	Studios	1383-1	Curse of the Pharaoh	2002	11	14.2 x 9.5 x 4.7
473	Sports / Soccer	3421-1	3 v 3 Shootout	2002	54	28.5 x 28.5 x 6
