,SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy,Owned,Wanted,QtyOwned,Rating
14422,28935,853952,1,Gear,Key Chains/Super Heroes,2019,Superman Key Chain,,,4.99,4.99,5.99,4.99,https://images.brickset.com/sets/images/853952-1.jpg,34,38,No,No,0.0,
14423,28936,853953,1,Gear,Key Chains/Super Heroes,2019,Batwoman Key Chain,,,4.99,4.99,5.99,4.99,https://images.brickset.com/sets/images/853953-1.jpg,55,55,No,No,0.0,
14424,28975,853954,1,Gear,Key Chains,2019,Ariel Keyring,,,4.99,4.99,5.99,4.99,https://images.brickset.com/sets/images/853954-1.jpg,27,19,No,No,0.0,
14425,28976,853955,1,Gear,Key Chains,2019,Aurora Keyring,,,4.99,4.99,5.99,4.99,https://images.brickset.com/sets/images/853955-1.jpg,18,17,No,No,0.0,
14426,28930,853956,1,Gear,Key Chains,2019,Creeper Key Chain,,,4.99,4.99,5.99,4.99,https://images.brickset.com/sets/images/853956-1.jpg,37,30,No,No,0.0,
14427,29550,5005542,1,Gear,Bags,2019,2x4 Red Luggage Tag,,,6.99,4.99,6.99,7.99,https://images.brickset.com/sets/images/5005542-1.jpg,9,9,No,No,0.0,
14428,29551,5005543,1,Gear,Bags,2019,2x4 Blue Luggage Tag,,,6.99,4.99,6.99,7.99,https://images.brickset.com/sets/images/5005543-1.jpg,6,9,No,No,0.0,
14429,29146,5005765,1,Gear,Housewares,2019,Bag Tag,,,,4.99,5.99,,https://images.brickset.com/sets/images/5005765-1.jpg,9,16,No,No,0.0,
14430,28605,30362,1,City,Sky Police,2019,Sky Police Jetpack,2.0,33.0,,3.99,,,https://images.brickset.com/sets/images/30362-1.jpg,675,559,No,No,0.0,
14431,28602,30571,1,Creator,,2019,Pelican,,62.0,,3.99,,,https://images.brickset.com/sets/images/30571-1.jpg,2251,432,No,No,0.0,
14432,28900,71023,1,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Awesome Remix Emmet,1.0,7.0,,3.99,,,https://images.brickset.com/sets/images/71023-1.jpg,3094,403,No,No,0.0,
14433,28902,71023,2,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Battle-Ready Lucy,1.0,8.0,,3.99,,,https://images.brickset.com/sets/images/71023-2.jpg,3141,410,No,No,0.0,
14434,28910,71023,3,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Apocalypse Benny,1.0,8.0,,3.99,,,https://images.brickset.com/sets/images/71023-8.jpg,3474,470,No,No,0.0,
14435,28907,71023,4,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Giraffe Guy,1.0,6.0,,3.99,,,https://images.brickset.com/sets/images/71023-5.jpg,3805,508,No,No,0.0,
14436,28904,71023,5,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Crayon Girl,1.0,6.0,,3.99,,,https://images.brickset.com/sets/images/71023-4.jpg,3418,356,No,No,0.0,
14437,28909,71023,6,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Sherry Scratchen-Post & Scarfield,1.0,6.0,,3.99,,,https://images.brickset.com/sets/images/71023-7.jpg,3262,418,No,No,0.0,
14438,28922,71023,7,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Hula Lula,1.0,8.0,,3.99,,,https://images.brickset.com/sets/images/71023-20.jpg,2816,319,No,No,0.0,
14439,28908,71023,8,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Watermelon Dude,1.0,6.0,,3.99,,,https://images.brickset.com/sets/images/71023-6.jpg,3523,431,No,No,0.0,
14440,28917,71023,9,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Flashback Lucy,1.0,7.0,,3.99,,,https://images.brickset.com/sets/images/71023-15.jpg,3053,424,No,No,0.0,
14441,28903,71023,10,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Swamp Creature,1.0,6.0,,3.99,,,https://images.brickset.com/sets/images/71023-3.jpg,3013,353,No,No,0.0,
14442,28918,71023,11,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Candy Rapper,1.0,8.0,,3.99,,,https://images.brickset.com/sets/images/71023-16.jpg,2912,372,No,No,0.0,
14443,28916,71023,12,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Gone Golfin' President Business,1.0,6.0,,3.99,,,https://images.brickset.com/sets/images/71023-14.jpg,3213,426,No,No,0.0,
14444,28920,71023,13,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Apocalypseburg Abe,1.0,7.0,,3.99,,,https://images.brickset.com/sets/images/71023-18.jpg,3382,464,No,No,0.0,
14445,28911,71023,14,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Vest Friend Rex,1.0,6.0,,3.99,,,https://images.brickset.com/sets/images/71023-9.jpg,3386,470,No,No,0.0,
14446,28919,71023,15,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Kitty Pop,1.0,7.0,,3.99,,,https://images.brickset.com/sets/images/71023-17.jpg,2965,357,No,No,0.0,
14447,28912,71023,16,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Dorothy Gale & Toto,1.0,7.0,,3.99,,,https://images.brickset.com/sets/images/71023-10.jpg,4013,644,No,No,0.0,
14448,28913,71023,17,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Cowardly Lion,1.0,6.0,,3.99,,,https://images.brickset.com/sets/images/71023-11.jpg,3954,603,No,No,0.0,
14449,28915,71023,18,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Scarecrow,1.0,6.0,,3.99,,,https://images.brickset.com/sets/images/71023-13.jpg,3993,602,No,No,0.0,
14450,28914,71023,19,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Tin Man,1.0,8.0,,3.99,,,https://images.brickset.com/sets/images/71023-12.jpg,4047,624,No,No,0.0,
14451,28921,71023,20,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,Unikitty,1.0,15.0,,3.99,,,https://images.brickset.com/sets/images/71023-19.jpg,2803,248,No,No,0.0,
14452,28924,71023,22,Collectable Minifigures,The LEGO Movie 2: The Second Part,2019,LEGO Minifigures - The LEGO Movie 2: The Second Part - Sealed Box,,,1.49,3.99,4.99,3.99,https://images.brickset.com/sets/images/71023-22.jpg,192,90,No,No,0.0,
14453,29170,71024,1,Collectable Minifigures,Disney Series 2,2019,Vintage Mickey,1.0,5.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-1.jpg,2663,429,No,No,0.0,
14454,29171,71024,2,Collectable Minifigures,Disney Series 2,2019,Vintage Minnie,1.0,6.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-2.jpg,2534,416,No,No,0.0,
14455,29173,71024,3,Collectable Minifigures,Disney Series 2,2019,Huey,1.0,6.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-4.jpg,2235,566,No,No,0.0,
14456,29174,71024,4,Collectable Minifigures,Disney Series 2,2019,Dewey,1.0,6.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-5.jpg,2256,580,No,No,0.0,
14457,29175,71024,5,Collectable Minifigures,Disney Series 2,2019,Louie,1.0,7.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-6.jpg,2236,548,No,No,0.0,
14458,29172,71024,6,Collectable Minifigures,Disney Series 2,2019,Scrooge McDuck,1.0,7.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-3.jpg,2789,510,No,No,0.0,
14459,29176,71024,7,Collectable Minifigures,Disney Series 2,2019,Chip,1.0,5.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-7.jpg,2628,469,No,No,0.0,
14460,29177,71024,8,Collectable Minifigures,Disney Series 2,2019,Dale,1.0,4.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-8.jpg,2615,450,No,No,0.0,
14461,29181,71024,9,Collectable Minifigures,Disney Series 2,2019,Elsa,1.0,6.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-12.jpg,2708,466,No,No,0.0,
14462,29180,71024,10,Collectable Minifigures,Disney Series 2,2019,Anna,1.0,7.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-11.jpg,2650,454,No,No,0.0,
14463,29179,71024,11,Collectable Minifigures,Disney Series 2,2019,Jafar,1.0,7.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-10.jpg,2550,493,No,No,0.0,
14464,29178,71024,12,Collectable Minifigures,Disney Series 2,2019,Jasmine,1.0,5.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-9.jpg,2456,473,No,No,0.0,
14465,29187,71024,13,Collectable Minifigures,Disney Series 2,2019,Hades,1.0,5.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-18.jpg,2614,420,No,No,0.0,
14466,29186,71024,14,Collectable Minifigures,Disney Series 2,2019,Hercules,1.0,7.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-17.jpg,2535,516,No,No,0.0,
14467,29183,71024,15,Collectable Minifigures,Disney Series 2,2019,Sally,1.0,6.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-14.jpg,2474,475,No,No,0.0,
14468,29182,71024,16,Collectable Minifigures,Disney Series 2,2019,Jack Skellington,1.0,9.0,2.99,3.99,,3.99,https://images.brickset.com/sets/images/71024-13.jpg,2669,579,No,No,0.0,
