Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
273	Bionicle	6936-1	Piraka & Catapult	2007	?	? x ? x ?
390	Holiday & Event / Christmas	2878-2	Santa Claus Mos Burger Gift Box 1 - Hawaiian Shirt Santa	2001	?	? x ? x ?
390	Holiday & Event / Christmas	2878-3	Santa Claus Mos Burger Gift Box 2 - Tuxedo Santa	2001	?	? x ? x ?
390	Holiday & Event / Christmas	2878-4	Santa Claus Mos Burger Gift Box 3 - Soccer Santa	2001	?	? x ? x ?
568	Exo-Force	8107-1	Fight for the Golden Tower	2007	277	47.7 x 38 x 6.9
63	Service Packs	3-9	4.5V Motor Battery Box	1977	?	? x ? x ?
63	Service Packs	1104-1	4.5V Motor Battery Cables, 14 and 94 Studs (10 and 75cm) Long	1977	?	? x ? x ?
63	Service Packs	5-5	Treads	1977	?	? x ? x ?
63	Service Packs / Train	6-4	4.5V Battery Train Wagon	1977	?	? x ? x ?
63	Service Packs / Train	7-5	Train Signal with Ties	1977	?	? x ? x ?
63	Service Packs / Train	8-4	Magnetic Train Couplers with Plates	1977	?	? x ? x ?
63	Service Packs / Train	9-3	Magnetic Train Couplers	1977	?	? x ? x ?
63	Service Packs / Train	10-3	Locomotive Wheels	1977	?	? x ? x ?
63	Service Packs / Train	11-3	Locomotive Traction Tires	1977	?	? x ? x ?
63	Service Packs / Train	12-3	Wheel Bearings for Locomotives	1977	?	? x ? x ?
63	Service Packs / Train	13-3	Train Motor Plate with Buffers	1977	?	? x ? x ?
63	Service Packs / Train	14-4	Train Motor Plate with Coupler	1977	?	? x ? x ?
63	Service Packs	15-3	Lighting Brick (2 x 2)	1977	?	? x ? x ?
63	Service Packs	16-3	Length of Chain Links	1977	?	? x ? x ?
63	Service Packs / Technic	17-3	Axles with Connectors	1977	?	? x ? x ?
63	Service Packs	18-2	Ship Keel	1977	?	? x ? x ?
63	Service Packs / Train	19-2	Locomotive Piston Assemblies	1977	?	? x ? x ?
63	Service Packs	20-3	Cross Country 42mm Tires	1977	?	? x ? x ?
63	Service Packs	21-4	Propellers, Wheels and Rotors	1977	?	? x ? x ?
63	Service Packs	22-2	Horizontal Hinges	1977	?	? x ? x ?
63	Service Packs	23-3	Ball/Socket Coupling/Unit	1977	?	? x ? x ?
63	Service Packs	24-2	Digger Bucket	1977	?	? x ? x ?
63	Service Packs	25-1	Steam Shovel / Plates with Holes	1977	?	? x ? x ?
63	Service Packs	26-1	12V Motor	1977	?	? x ? x ?
63	Service Packs / Train	27-2	Train Contact Bricks	1977	?	? x ? x ?
63	Service Packs / Train	28-1	Train Contact Plate with Cables	1977	?	? x ? x ?
63	Service Packs / Technic	29-1	4.5V Motor	1977	?	? x ? x ?
63	Service Packs	30-3	Small Turntables / Gear Racks	1977	?	? x ? x ?
63	Service Packs / Technic	31-2	Universal Joints / Connectors	1977	?	? x ? x ?
63	Service Packs	32-3	Small Tire / Large Tire	1977	?	? x ? x ?
63	Service Packs	33-1	Small / Large Red Spoked Wheel	1977	?	? x ? x ?
63	Service Packs	34-1	Sloped Convex Corner Bricks, Red (2 x 2)	1977	?	? x ? x ?
63	Service Packs	35-1	Screws for Motor Case	1977	?	? x ? x ?
63	Service Packs	36-1	Small Tractor Tires	1977	?	? x ? x ?
63	Service Packs / Technic	37-1	Small Wheels	1977	?	? x ? x ?
63	Service Packs	38-1	Open Stud Round Bricks (1 x 1)	1977	?	? x ? x ?
63	Service Packs	39-1	Motor Gearbox	1977	?	? x ? x ?
63	Service Packs	40-2	Axle Brick with Small Wheels (2 x 2)	1977	?	? x ? x ?
63	Service Packs / Train	41-1	Train Wagon Wheels in Red	1977	?	? x ? x ?
63	Service Packs	42-1	Motor Case / Lower Part	1977	?	? x ? x ?
395	Samsonite / Supplemental	442-2	Decorator Set	1969	?	17 x 9 x 4
568	Exo-Force	8106-1	Aero Booster	2007	184	38 x 28.5 x 6.9
