Category ID	Category Name	Number	Name	Year Released	Weight (in Grams)	Dimensions
124	Train / 4.5V	149-1	Fuel Refinery	1976	?	? x ? x ?
67	Town / Classic Town / Traffic	1490-1	Town Bank	1988	?	? x ? x ?
9	Castle / Black Knights	1491-1	Dual Defender polybag	1992	51	? x ? x ?
61	Pirates / Pirates I	1492-1	Battle Cove polybag	1992	54	17.4 x 16.7 x 2
67	Town / Classic Town / Race	1496-1	Rally Car	1987	54	11.3 x 7.1 x 3.5
67	Town / Classic Town / Race	1497-1	Rally and Pitcrew Team	1987	?	19 x 11.5 x 3.5
34	Space / Classic Space	1498-1	Spy-Bot	1987	46	11.6 x 7.3 x 3.8
34	Space / Classic Space	1499-1	Twin Starfire	1987	128	19.3 x 11.5 x 3.7
124	Train / Supplemental / 4.5V	150-1	Straight Track	1966	125	20 x 5 x 5
34	Space / Classic Space	1507-1	Space Value Pack	1986	?	? x ? x ?
124	Train / Supplemental / 4.5V	151-1	Curved Track	1966	119	20 x 5 x 5
34	Space / Classic Space	1510-1	Space Value Pack	1987	242	32 x 24 x 4
67	Town / Classic Town / Race	1517-1	Race Car	1989	?	? x ? x ?
67	Town / Classic Town / Race	1518-1	Race Car Repair	1989	?	? x ? x ?
124	Train / 4.5V	152-1	Two Train Wagons	1966	116	20 x 5 x 5
67	Town / Classic Town / Cargo	1525-1	Container Lorry	1986	?	? x ? x ?
67	Town / Classic Town / Race	1528-1	Dragster	1986	?	? x ? x ?
124	Train / 4.5V	153-1	Large Train Wagon	1966	107	20 x 4.9 x 4.9
124	Train / Supplemental / 4.5V	154-1	Switch Track - 1 Right and 1 Left	1967	102	26 x 14 x 2.3
9	Castle / Black Knights	1547-1	Black Knights Boat	1993	?	? x ? x ?
124	Train / Supplemental / 4.5V	155-1	2 Cross Rails, 8 Straight Tracks, 4 Base Plates	1967	99	26 x 13 x 2.4
34	Space / Classic Space	1557-1	Scooter	1986	36	9.6 x 5.7 x 3.7
34	Space / Classic Space	1558-1	Mobile Command Trailer	1986	104	19.4 x 9.3 x 3.6
124	Train / Supplemental / 4.5V	156-2	Straight Track	1976	?	15.2 x 6.5 x 4
67	Town / Classic Town / Airport	1560-1	Glory Glider polybag	1990	30	17.2 x 16.4 x 1.5
67	Town / Classic Town / Airport	1561-1	Stunt Chopper polybag	1990	32	17.5 x 16 x 1
67	Town / Classic Town / Harbor	1562-1	Wave Jumper polybag	1990	34	17 x 15.5 x 1.5
67	Town / Classic Town / Race	1563-1	Track Blaster polybag	1990	32	17.1 x 15.8 x 1.5
124	Train / Supplemental / 4.5V	156-1	2 Signals with Automatic Stop / Go Attachment	1968	117	19.3 x 18.7 x 4
124	Train / Supplemental / 4.5V	157-1	Curved Track	1976	?	? x ? x ?
67	Town / Classic Town / Wrecker	1572-1	Super Tow Truck	1986	112	20 x 9 x 4
124	Train / Supplemental / 4.5V	157-2	Automatic Direction Changer	1969	68	20 x 10 x 2.5
124	Train / Supplemental / 4.5V	158-1	Railroad Crossing Gate	1969	68	17 x 12 x 2.5
34	Space / Classic Space	1580-1	Lunar Scout	1986	115	19.5 x 9.3 x 3.8
9	Castle / Lion Knights	1584-1	Knights Challenge	1988	298	? x ? x ?
124	Train / Supplemental / 4.5V	159-1	Crossover, Straight Rails	1976	?	? x ? x ?
67	Town / Classic Town / Traffic	1590-2	ANWB Breakdown Assistance	1982	?	? x ? x ?
67	Town / Classic Town / Food & Drink	1591-1	Danone Truck	1980	55	11 x 7 x 4
67	Town / Classic Town / Traffic	1592-1	Town Square - Castle Scene	1980	?	39 x 28.8 x 5.5
34	Space / Classic Space	1593-1	Super Model	1983	556	38 x 23.4 x 4.6
9	Castle / Wolfpack	1596-1	Ghostly Hideout	1993	?	? x ? x ?
9	Castle	1597-1	Castle 3-Pack	1993	?	? x ? x ?
124	Train / Supplemental / 4.5V	160-1	Magnetic Couplings	1968	40	20.2 x 5.1 x 2.6
124	Train / Supplemental / 4.5V	161-1	Battery Wagon with Signal and Direction - Changing	1972	160	20 x 6.2 x 11.8
67	Town / Classic Town / Police	1610-1	Police Car	1991	37	7 x 7 x 4.5
67	Town / Classic Town / Off-Road	1611-1	Dune Buggy	1991	37	7.3 x 7.3 x 4.8
67	Town / Classic Town / Race	1612-1	Victory Racer (Race Car) polybag	1988	30	17 x 17 x 1
34	Space / Futuron	1616-1	Space Combi-Pack	1989	?	? x ? x ?
124	Train / 4.5V	162-1	Locomotive without Motor	1977	483	30 x 20 x 4
67	Town / Classic Town / Food & Drink	1620-2	Factory	1978	?	? x ? x ?
34	Space / Futuron	1620-1	Astro Dart	1990	33	9.5 x 7 x 4.6
34	Space / Futuron	1621-1	Lunar MPV Vehicle	1990	114	19.2 x 9.5 x 4.6
9	Castle / Black Knights	1624-1	King's Archer	1993	?	? x ? x ?
124	Train / 4.5V	163-1	Cargo Wagon	1977	?	? x ? x ?
67	Town / Classic Town / Airport	1630-1	Helicopter	1990	36	7 x 7 x 4.5
67	Town / Classic Town / Race	1631-1	Black Racer	1990	35	7 x 7 x 5
67	Town / Classic Town / Harbor	1632-1	Motor Boat	1990	39	7.2 x 7.2 x 4.5
67	Town / Classic Town / Construction	1633-1	Loader Tractor	1990	?	? x ? x ?
124	Train / 4.5V	164-1	Passenger Wagon	1978	300	29 x 16 x 4
124	Train / 4.5V	165-1	Cargo Station	1978	?	? x ? x ?
67	Town / Classic Town / Cargo	1651-2	Maersk Line Container Truck	1980	?	? x ? x ?
67	Town / Classic Town / Fire	1656-1	Evacuation Team	1991	350	29 x 19 x 4.5
124	Train / 4.5V	166-1	Flat Wagon	1978	?	? x ? x ?
67	Town / Classic Town / Race	1665-1	Dual FX Racers	1990	130	19.2 x 14.3 x 4.7
124	Train / 4.5V	167-1	Loading Ramp and Car Transport Wagon	1978	?	? x ? x ?
290	Value Packs	1675-1	LEGOLAND Triple Pack	1990	?	? x ? x ?
9	Castle / Forestmen	1680-1	Hay Cart with Smugglers	1990	?	? x ? x ?
67	Town / Classic Town / Airport	1682-1	Space Shuttle	1990	925	38 x 29 x 6
67	Town / Classic Town / Airport	1687-1	Midnight Transport	1993	?	28.5 x 23.6 x 4.6
67	Town / Classic Town / Race	1693-1	Turbo Force	1992	31	7 x 7 x 4.5
34	Space / Blacktron II	1694-1	Galactic Scout	1992	37	7 x 7 x 4.6
9	Castle / Crusaders	1695-1	Treasure Chest	1992	?	? x ? x ?
61	Pirates / Pirates I	1696-1	Pirate Lookout	1992	34	7 x 7 x 4.6
124	Train / 4.5V	170-1	Push Along Play Train	1972	?	? x ? x ?
67	Town / Classic Town / Fire	1702-1	Fire Fighter 4 x 4	1994	40.02	? x ? x ?
34	Space / Ice Planet 2002	1704-1	{Unknown - Ice Planet Satellite Plow ?}	1994	50.26	? x ? x ?
124	Train / 4.5V	171-1	Complete Train Set Without Motor	1972	614	35 x 20 x 6
67	Town / Classic Town / Off-Road	1710-1	Snowmobile polybag	1994	?	? x ? x ?
34	Space / Ice Planet 2002	1711-1	Ice Planet Scooter polybag	1994	23	13.8 x 14.5 x 1.3
9	Castle / Dragon Knights	1712-1	Crossbow Cart polybag	1994	20	? x ? x ?
61	Pirates / Pirates I	1713-1	Shipwrecked Pirate polybag	1994	20	13.8 x 15 x 1
34	Space / Spyrius	1714-1	Surveillance Scooter polybag	1995	22	13.7 x 14.7 x 1.5
67	Town / Classic Town / Recreation	1720-1	Cactus Canyon Value Pack	1994	181	? x ? x ?
67	Town / Classic Town / Recreation	1721-1	Sandypoint Marina Value Pack	1994	379	28.5 x 24 x 4.5
290	Value Packs	1722-1	Rescue / Ice Planet Combi Pack	1994	148	14.5 x 14 x 4.5
290	Value Packs	1723-1	Castle / Pirates Combi Pack	1994	142	22.8 x 14.5 x 4.7
54	Aquazone / Aquanauts	1728-1	Crystal Crawler	1996	?	? x ? x ?
61	Pirates / Pirates I	1729-1	Barnacle Bay Value Pack	1994	200	29 x 19 x 5
67	Town / Classic Town / Off-Road	1730-1	Snow Scooter	1994	28	7 x 7 x 4.5
34	Space / Ice Planet 2002	1731-1	Ice Planet Scooter	1994	27	7 x 7 x 4.6
9	Castle / Dragon Knights	1732-1	Crossbow Cart	1994	30	7 x 7 x 4.5
61	Pirates / Pirates I	1733-1	Shipwrecked Pirate	1994	27	7 x 7 x 4.8
9	Castle / Dragon Knights	1736-1	Wizard's Cart	1995	30	7 x 7 x 4.8
34	Space / Exploriens	1737-1	Scorpion Detector	1996	590	? x ? x ?
67	Town / Classic Town / Recreation	1740-1	Unknown	1994	?	? x ? x ?
67	Town / Classic Town / Recreation	1741-1	Unknown	1994	?	? x ? x ?
67	Town / Classic Town / Recreation	1742-1	Unknown	1994	?	? x ? x ?
9	Castle / Dragon Knights	1746-1	Wiz the Wizard polybag	1995	30	7 x 7 x 4.8
61	Pirates / Pirates I	1747-1	Treasure Surprise	1996	32	7 x 7 x 4.6
54	Aquazone / Aquanauts	1749-1	Paravane	1996	28	7 x 7 x 4.5
9	Castle / Royal Knights	1752-1	Boat with Armor	1996	30	7 x 7 x 4.7
67	Town / Classic Town / Race	1760-1	Go-Cart	1995	26	7.1 x 7.1 x 4.7
67	Town / Paradisa	1761-1	Paradisa Speedboat	1995	35	7 x 7 x 4.5
67	Town / Classic Town / Race	1762-1	Go-Cart polybag	1995	?	? x ? x ?
67	Town / Classic Town / Airport	1772-1	Airport Container Truck	1992	?	? x ? x ?
67	Town / Classic Town / Airport	1773-1	Airline Maintenance Vehicle with Trailer	1992	?	? x ? x ?
67	Town / Classic Town / Airport	1774-1	Aircraft	1992	?	? x ? x ?
67	Town / Classic Town / Airport	1775-1	Jet	1994	?	? x ? x ?
67	Town / Divers	1782-1	Discovery Station	1997	980	38.2 x 28.6 x 7.1
34	Space	1785-1	Introducing Crater Critters	1995	?	19.3 x 14.3 x 9.6
67	Town / Classic Town / Police	1786-1	Jailbreak Joe	1995	230	? x ? x ?
34	Space / Unitron	1787-1	Crater Cruiser	1995	354	24 x 19 x 6
61	Pirates / Pirates I	1788-1	Pirate Treasure Chest	1995	433	23.4 x 14.3 x 14.3
34	Space / Unitron	1789-1	Star Hawk II	1995	?	? x ? x ?
67	Town / Classic Town / Recreation	1790-1	Shark Fisherman	1994	?	? x ? x ?
67	Town / Classic Town / Recreation	1791-1	Windsurfer & Van	1994	?	? x ? x ?
67	Town / Classic Town / Recreation	1792-1	Pleasure Cruiser	1994	?	? x ? x ?
34	Space / Unitron	1793-1	Space Station Zenon	1995	?	? x ? x ?
9	Castle / Dragon Knights	1794-1	Dragon Master Chariot	1994	?	? x ? x ?
61	Pirates / Pirates I / Imperial Guards	1795-1	Imperial Cannon	1994	?	? x ? x ?
124	Train / 4.5V	180-1	Train with 5 Wagons and Circle of Track	1972	?	? x ? x ?
61	Pirates / Pirates I	1802-1	Tidy Treasure polybag	1996	22	13.8 x 15 x 1.5
9	Castle / Royal Knights	1804-1	Crossbow Boat polybag	1996	?	? x ? x ?
54	Aquazone / Aquanauts	1806-1	Underwater Scooter polybag	1996	16	13.5 x 14.5 x 1.5
390	Holiday & Event / Christmas	1807-1	Santa Claus and Sleigh polybag	1995	13.43	? x ? x ?
67	Town / Classic Town / Airport	1808-1	Light Aircraft and Ground Support	1996	168	19.2 x 9.4 x 4.7
124	Train / 4.5V	181-1	Complete Train Set with Motor, Signals and Switch	1972	?	50 x 20 x 6
67	Town / Paradisa	1815-1	Paradisa Lifeguard	1996	?	? x ? x ?
67	Town / Classic Town / Recreation	1817-1	Sea Plane with Hut and Boat	1996	221	19 x 9.4 x 5.9
67	Town / Classic Town / Airport	1818-1	Aircraft and Ground Support Equipment and Vehicle	1996	?	? x ? x ?
124	Train / 4.5V	182-1	Train Set with Signal	1975	?	50.5 x 25 x 6.5
67	Town / Classic Town / Race	1821-1	Rally Racers	1996	515	? x ? x ?
54	Aquazone / Aquanauts	1822-1	Sea Claw 7 / Neptune III	1995	555	? x ? x ?
124	Train / 4.5V	183-1	Complete Train Set with Motor and Signal	1976	867	40 x 26 x 6.3
67	Town / Classic Town / Cargo	1831-1	Maersk Line Container Lorry	1995	348	28.6 x 19 x 4.5
290	Value Packs	1843-1	Space / Castle Value Pack	1996	142	14.3 x 23.7 x 4.4
157	Time Cruisers	1853-1	Navigator	1996	?	? x ? x ?
67	Town / Classic Town / Building	1854-1	House with Roof-Windows ( Velux )	1996	315	24 x 19 x 4.5
